ఆఫ్రికా	非洲
వారెన్ బఫెట్	沃伦·巴菲特
శాసనోల్లంఘన	公民不服從
పుట్టిన రోజు	生日
కామసూత్ర	欲经
కేంద్రీయ నాడీ వ్యవస్థ	中樞神經系統
ఇబ్రాహీం మతము	亞伯拉罕諸教
ఇలకోడి	蟋蟀
క్యోటో ఒప్పందం	京都议定书
మిల్టన్ ఫ్రీడ్‌మన్	米爾頓·佛利民
ఎడ్మండ్ హేలీ	愛德蒙·哈雷
స్వామీ వివేకానంద	斯瓦米·維韋卡南達
అంతర్జాతీయ క్రిమినల్ కోర్టు	国际刑事法院
కంపైలర్	編譯器
ఎసిటిక్ ఆమ్లం	乙酸
ప్రమాణం	计量单位
ఆర్సేన్ వెంగెర్	阿尔塞纳·温格
హ్యారీ పోటర్ అండ్ ది ప్రిజనెర్ ఆఫ్ అజ్కాబాన్	哈利·波特与阿兹卡班囚徒
ఎంఎస్-డాస్	MS-DOS
నాడైన్ గార్డిమర్	内丁·戈迪默
రక్త వర్గం	血型
కాథరిన్ జీటా-జోన్స్	凯瑟琳·泽塔-琼斯
బ్లాక్ సబ్బాత్	黑色安息日
బాబిలోనియా	巴比倫尼亞
ది గాడ్‌ఫాదర్	教父 (電影)
డౌన్ సిండ్రోమ్	唐氏综合症
బ్రొక్కొలి	西蘭花
ధనుర్వాతము	破傷風
ప్రతిభా పాటిల్	普拉蒂巴·帕蒂尔
మెంథా	薄荷
రాబీ విలియమ్స్	罗比·威廉斯
పేకముక్క	遊戲牌
ప్యారిస్ హిల్టన్	芭黎絲·希爾頓
ఖడ్గమృగం	印度犀牛
లక్నో	勒克瑙
సర్కస్	马戏
బుల్ఢానా జిల్లా	布爾達納縣
మూస:Commonscat	Template:Commons category
కింగ్ కోబ్రా	眼镜王蛇
మూల కణం	幹細胞
అరేసి	天南星科
ఈదీ అమీన్	伊迪·阿敏
ఫెడోరా	Fedora
వాటర్లూ యుధ్ధం	滑铁卢战役
యూరియా	尿素
నీతి	道德
బేవుల్ఫ్	貝奧武夫
రేవడిచెట్టు	第倫桃
మోర్గాన్ ఫ్రీమాన్	摩根·弗里曼
సిఎన్ఎన్ (CNN)	CNN
మీనార్	叫拜樓
హిప్పోకాంపస్	海马体
గిలక (పుల్లీ)	滑轮
అమృత్‌సర్	阿姆利则
రిచర్డ్ గేర్	李察·基爾
ఫీనిక్స్ (పక్షి)	不死鳥
గ్నూ హర్డ్	GNU Hurd
వోయెజర్ 2	旅行者2号
క్యూరియాసిటీ	好奇號
ఆఫ్రికా-అమెరికా చట్ట హక్కుల ఉద్యమం (1955-1968)	非裔美國人民權運動
రోసెట్టా వ్యోమనౌక	羅塞塔號
పరదా	簾
దారం	纱线
చంద్రయాన్	月船1号
కుట్టు మిషను	縫紉機
తెలుగు కథ	短篇小说
మసాచుసెట్స్ ఇన్సిట్యూట్ ఆఫ్ టెక్నాలజీ	麻省理工学院
పెన్సిల్వేనియా విశ్వవిద్యాలయం	宾夕法尼亚大学
భోజ్‌పూర్	波吉布爾縣
భగల్‌పూర్	巴加爾布爾縣
బెగుసరాయ్	貝古薩萊縣
తూర్పు చంపారణ్	東查姆帕蘭縣
దర్భంగా	達爾班加縣
బక్సార్	布克薩爾縣
జమూయి	扎穆伊縣
గోపాల్‌గంజ్	戈帕爾甘傑縣
ఖగరియా	卡加里亞縣
జహానాబాద్	吉哈納巴德縣
రోచెస్టర్, న్యూయార్క్	羅徹斯特 (紐約州)
సాలి రైడ్	萨莉·莱德
ఆల్బర్ట్ స్విట్జర్	阿尔伯特·史怀哲
పర్యాటక రంగం	旅游
ఏలియమ్	蔥屬
మారుపేరు	綽號
పీచుమిఠాయి	棉花糖 (棉絮狀)
ప్రేయసి	女朋友
వివాహం (పెళ్లి)	婚礼
నీటి వర్ణ చిత్రాలు	水彩画
డైర్ స్ట్రెయిట్స్	險峻海峽
ట్రోజన్ హార్స్	特洛伊木馬
రిచర్డ్ అటెన్‌బరో	李察·艾登堡祿
కొండమీద ప్రసంగం	山上寶訓
ఇస్లాం క్రైస్తవ మతాల మధ్య సంబంధాలు	爾撒
యూహాన్నా అల్ దెమాష్కీ	大馬士革的聖約翰
ఎబోలా వైరస్ వ్యాధి	埃博拉出血热
షేక్ హసీనా	谢赫·哈西娜
సుంకం	关税
మూస:Chembox	Template:Chembox
మూస:సమాచారపెట్టె ఖనిజం	Template:Infobox mineral
మూస:Taxobox	Template:Taxobox
ఎరిక్సన్	愛立信
ఘనీభవించిన భుజం	沾黏性肩關節囊炎
బ్లాక్ కామెడీ	黑色幽默
రక్త దానం	献血
అకాంథేసి	爵床科
లామియేసి	唇形科
లిలియేసి	百合科
కప్ప	无尾目
సాలమండర్	有尾目
దోపిడీ	抢劫
కొండ	丘
ద్రవాభిసరణం	渗透
సిడ్నీ హార్బర్ వంతెన	雪梨港灣大橋
మార్టినా నవ్రతిలోవా	玛蒂娜·纳芙拉蒂洛娃
ఆండీ రాడిక్	安迪·罗迪克
జఘన జుట్టు	陰毛
రాజ్ కపూర్	拉吉·卡浦爾
పెథిడిన్	哌替啶
స్పైస్ గర్ల్స్	辣妹合唱團
ఓప్రా విన్‌ఫ్రే	奧花·雲費
భారత స్వాతంత్ర్య దినోత్సవం	印度獨立日
స్యాలమెంక	薩拉曼卡 (智利)
డెస్క్‌టాప్ కంప్యూటర్	桌上型電腦
పారాసిటమాల్	对乙酰氨基酚
ఫ్రిట్జ్ హేబర్	弗里茨·哈伯
కంచము	碟
జాకబ్ జుమా	雅各布·祖玛
మహీంద రాజపక్స	马欣达·拉贾帕克萨
ప్రణబ్ ముఖర్జీ	普拉纳布·慕克吉
కోట	要塞
పాశ్చరైజేషన్	巴斯德消毒法
తక్షణ సందేశం	即時通訊
డిమ్ము బోర్‌గిర్	霧都魔堡樂團
ఎస్.ఎమ్. కృష్ణ	索玛纳哈利·马雷阿·克里希纳
ఫీల్డింగ్ (క్రికెట్)	防守 (板球)
పంజాబీ భాష	旁遮普語
బ్రాసికా	蕓薹屬
అరేబియా సముద్రము	阿拉伯海
కాలుష్యం	污染
లిలీ అలెన్	莉莉·艾倫
సౌర ఘటం	太阳能电池
సరస్వతి	辯才天女
ఎక్కిళ్ళు	打嗝
రాట్నం	纺车
కాకినాడ	卡基纳达
శివసేన	湿婆神军党
పిల్లి చేప	鮎形目
ఆటో రిక్షా	嘟嘟車
చామంతి	菊属
ఆస్కార్ షిండ్లర్	奧斯卡·辛德勒
హెడీ క్లమ్	海迪·克林
వెంకటరామన్ రామకృష్ణన్	文卡特拉曼·拉马克里希南
ది సౌండ్ ఆఫ్ మ్యూజిక్	音乐之声 (电影)
మాక్స్ ముల్లర్	馬克斯·繆勒
ఆట్టో వాన్ గెరిక్	奥托·冯·格里克
భారత ఉపఖండము	印度次大陸
సంకేతాధ్యయన శాస్త్రం	符號學
చంద్రశేఖర వేంకట రామన్	钱德拉塞卡拉·拉曼
నమస్కారం	合十礼
తోక	尾
కులపతి	校監
హిస్టమిన్	組織胺
ప్రి-ఎక్లంప్సియా	妊娠毒血症
నెల్లూరు	內洛爾
కొవ్వు ఆమ్లం	脂肪酸
ప్రాచి దేశాయ్	朴拉琪·黛塞
రోలెక్స్	劳力士
లండన్ టవర్	伦敦塔
వెస్ట్ మినిస్టర్ రాజభవనం	威斯敏斯特宫
కెనాన్ ఇంక్	佳能
శంఖము	螺
ఖగోళ వేధశాల	天文台
మౌర్య సామ్రాజ్యం	孔雀王朝
నిద్రమాత్ర	安眠药
కోకస్	球菌
కెనాన్ ఈ ఓ ఎస్ 1100డి	佳能 EOS 1100D
మరుగుజ్జు వృక్షాలు	盆景
పిత్తాశయము	胆囊
విద్యుద్విశ్లేషణ	电解
కెనాన్ ఈ ఓ ఎస్ 600డి	佳能 EOS 600D
ఆంథోనీ హాప్కిన్స్	安東尼·霍普金斯
పైత్యరసం	胆汁
ఖలీఫా	哈里发
డ్యుయిష్ బ్యాంక్	德意志银行
ఇండోర్	印多尔
దమన్ దియు	达曼-第乌
పుదుచ్చేరి	本地治里
యావజ్జీవ కారాగారశిక్ష	無期徒刑
ఎముక విరుపు	骨折
విద్యా హక్కు	受教育权
అజ్మల్ కసబ్	穆罕默德·阿吉马·卡萨布
సైబీరియన్ పులి	东北虎
ద్రావిడ ప్రజలు	达罗毗荼人
ఎయిర్ ఇండియా	印度航空
ఆదాము	亞當
పెండలము	薯蓣属
వక్రీభవనం	折射
విద్యుత్ మోటారు	电动机
కాగితపు విమానం	纸飞机
పండుగప్ప	尖吻鲈
అడవి ఆముదము చెట్టు	桐油树
డెల్ఫీ	德尔斐
పీఠభూమి	高原
ఎ లాట్ లైక్ లవ్	再見鍾情
ఎలిజబెత్ హర్లె	伊麗莎白·赫莉
సామ్యూల్ F. B. మోర్స్	萨缪尔·摩尔斯
హాగ్ చేప	盲鰻
బుడగ	泡沫 (消歧義)
సబ్బు బుడగ	肥皂泡
బోరిస్ బెకర్	鲍里斯·贝克尔
26/11 ముంబై పై దాడి	2008年孟買連環恐怖襲擊
ఎమిల్ వాన్ బెరింగ్	埃米尔·阿道夫·冯·贝林
డాప్లర్ ప్రభావం	多普勒效应
కన్నీరు	淚
చొక్కా	襯衫
ఫ్రెడ్రిక్‌ అగస్ట్‌ కెకూలే	弗里德里希·奥古斯特·凯库勒·冯·斯特拉多尼茨
మాక్స్‌ డెల్‌బ్రక్	馬克斯·德爾布呂克
కిషన్‌గంజ్	基商甘傑縣
ముంగేర్	蒙吉爾縣
మధుబని	馬杜巴尼縣
లఖిసరాయ్	拉基薩萊縣
కతిహార్	格蒂哈爾縣
సివిల్ ఇంజనీరింగ్	土木工程
రేడియాలజీ	影像诊断学
మాధెపురా	馬德普拉縣
ఏకదళబీజాలు	單子葉植物
వీధి	街道
సూపర్ మేన్	超人
గూగుల్ క్రోమ్ OS	Google Chrome OS
గూగుల్ డెస్క్‌టాప్	Google桌面
గూగుల్ ప్లే	Google Play
గూగుల్ వెబ్ టూల్‌కిట్	Google Web Toolkit
తుఫాను (సైక్లోన్)	气旋
3G	3G
లైసెన్సు	牌照
కిలోబైట్	千字节
టెరాబైట్	太字节
కొవ్వొత్తి	蜡烛
భారమితి	气压表
ఫ్రెండ్స్ (ధారావాహిక)	老友记
తట్టు	痲疹
యాంత్రిక అనువాదం	机器翻译
క్రోధం	憤怒
బ్రెయిలీ లిపి	盲文
ప్రభుత్వేతర సంస్థ	非政府组织
కృష్ణ పదార్థం	暗物质
మొటిమ	粉刺
